,,,,,,,,,,,,,,,,,,
운중동 ( 경기 성남시 분당구 운중동 935 운중동주민센터 ),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
날짜,통합대기환경지수,,,PM10,,,PM2.5,,,오존,,이산화질소,,일산화탄소,,아황산가스,,"최종확정
여 부"
(년-월-일:시),,,,(㎍/㎥),,,(㎍/㎥),,,(ppm),,(ppm),,(ppm),,(ppm),,
,주오염물질,등급,지수,1시간,24시간,등급,1시간,24시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,
2017-05-18:18,오존,보통,87,64,60,보통,29,25,보통,0.074,보통,0.019,좋음,0.4,좋음,0.005,좋음,N
2017-05-18:17,오존,보통,93,69,57,보통,32,24,보통,0.081,보통,0.016,좋음,0.4,좋음,0.005,좋음,N
2017-05-18:16,오존,보통,93,67,54,보통,31,24,보통,0.081,보통,0.014,좋음,0.4,좋음,0.005,좋음,N
2017-05-18:15,오존,보통,92,73,52,보통,32,25,보통,0.080,보통,0.013,좋음,0.4,좋음,0.004,좋음,N
2017-05-18:14,오존,보통,99,56,51,보통,36,24,보통,0.089,보통,0.015,좋음,0.4,좋음,0.005,좋음,N
2017-05-18:13,오존,보통,91,60,49,보통,27,22,보통,0.079,보통,0.021,좋음,0.4,좋음,0.005,좋음,N
2017-05-18:12,오존,보통,77,68,47,보통,29,21,보통,0.062,보통,0.024,좋음,0.4,좋음,0.005,좋음,N
2017-05-18:11,오존,보통,71,63,40,보통,30,18,보통,0.055,보통,0.027,좋음,0.4,좋음,0.005,좋음,N
2017-05-18:10,오존,보통,66,50,33,보통,21,14,좋음,0.049,보통,0.022,좋음,0.4,좋음,0.005,좋음,N
2017-05-18:09,오존,보통,58,49,29,좋음,24,13,좋음,0.040,보통,0.021,좋음,0.4,좋음,0.005,좋음,N
2017-05-18:08,이산화질소,보통,66,29,25,좋음,10,10,좋음,0.018,좋음,0.040,보통,0.4,좋음,0.004,좋음,N
2017-05-18:07,이산화질소,보통,95,20,26,좋음,8,11,좋음,0.004,좋음,0.057,보통,0.4,좋음,0.004,좋음,N
2017-05-18:06,이산화질소,보통,81,21,27,좋음,10,12,좋음,0.008,좋음,0.049,보통,0.4,좋음,0.003,좋음,N
2017-05-18:05,이산화질소,보통,63,22,29,좋음,11,12,좋음,0.015,좋음,0.038,보통,0.3,좋음,0.003,좋음,N
2017-05-18:04,PM10,보통,54,26,34,보통,14,12,좋음,0.026,좋음,0.026,좋음,0.3,좋음,0.003,좋음,N
2017-05-18:03,PM10,보통,55,23,35,보통,12,12,좋음,0.029,좋음,0.022,좋음,0.3,좋음,0.003,좋음,N
2017-05-18:02,PM10,보통,57,22,37,보통,12,12,좋음,0.028,좋음,0.025,좋음,0.4,좋음,0.003,좋음,N
2017-05-18:01,이산화질소,보통,66,45,39,보통,6,13,좋음,0.019,좋음,0.040,보통,0.4,좋음,0.004,좋음,N
2017-05-17:24,PM10,보통,58,26,38,보통,12,14,좋음,0.032,보통,0.030,좋음,0.4,좋음,0.004,좋음,N
2017-05-17:23,PM10,보통,62,26,42,보통,9,15,좋음,0.035,보통,0.029,좋음,0.4,좋음,0.004,좋음,N
2017-05-17:22,PM10,보통,65,35,45,보통,16,16,보통,0.026,좋음,0.039,보통,0.4,좋음,0.004,좋음,N
2017-05-17:21,PM10,보통,68,37,48,보통,11,16,보통,0.030,좋음,0.035,보통,0.3,좋음,0.003,좋음,N
2017-05-17:20,PM10,보통,71,44,51,보통,17,18,보통,0.030,좋음,0.039,보통,0.4,좋음,0.004,좋음,N
2017-05-17:19,PM10,보통,73,48,53,보통,18,19,보통,0.037,보통,0.034,보통,0.3,좋음,0.004,좋음,N
2017-05-17:18,PM10,보통,72,55,52,보통,13,18,보통,0.045,보통,0.028,좋음,0.3,좋음,0.004,좋음,N
2017-05-17:17,오존,보통,73,71,49,보통,23,19,보통,0.057,보통,0.025,좋음,0.3,좋음,0.004,좋음,N
2017-05-17:16,오존,보통,74,62,47,보통,24,18,보통,0.059,보통,0.025,좋음,0.4,좋음,0.005,좋음,N
2017-05-17:15,오존,보통,72,50,43,보통,16,17,보통,0.056,보통,0.022,좋음,0.3,좋음,0.004,좋음,N
2017-05-17:14,,,,43,,,16,,,0.050,보통,0.024,좋음,0.4,좋음,0.004,좋음,N
2017-05-17:13,,,,52,,,19,,,0.049,보통,0.023,좋음,0.4,좋음,0.004,좋음,N
2017-05-17:12,,,,,,,,,,,,,,,,,,N
2017-05-17:11,,,,,38,보통,,17,보통,,,,,,,,,N
